,name,syct,mmin,mmax,cach,chmin,chmax
1,ADVISOR 32/60,125,256,6000,256,16,128
2,AMDAHL 470V/7,29,8000,32000,32,8,32
3,AMDAHL 470/7A,29,8000,32000,32,8,32
4,AMDAHL 470V/7B,29,8000,32000,32,8,32
5,AMDAHL 470V/7C,29,8000,16000,32,8,16
6,AMDAHL 470V/8,26,8000,32000,64,8,32
7,AMDAHL 580-5840,23,16000,32000,64,16,32
8,AMDAHL 580-5850,23,16000,32000,64,16,32
9,AMDAHL 580-5860,23,16000,64000,64,16,32
10,AMDAHL 580 5880,23,32000,64000,128,32,64
11,APOLLO DN320,400,1000,3000,0,1,2
12,APOLLO DN420,400,512,3500,4,1,6
13,BASF 7/65,60,2000,8000,65,1,8
14,BASF 7/68,50,4000,16000,65,1,8
15,BTI 5000,350,64,64,0,1,4
16,BTI 8000,200,512,16000,0,4,32
17,BURROUGHS B1955,167,524,2000,8,4,15
18,BURROUGHS B2900,143,512,5000,0,7,32
19,BURROUGHS B2925,143,1000,2000,0,5,16
20,BURROUGHS B4955,110,5000,5000,142,8,64
21,BURROUGHS B5900,143,1500,6300,0,5,32
22,BURROUGHS B5920,143,3100,6200,0,5,20
23,BURROUGHS B6900,143,2300,6200,0,6,64
24,BURROUGHS B6925,110,3100,6200,0,6,64
25,C.R.D. 68/10-80,320,128,6000,0,1,12
26,C.R.D. UNIVERSE 2203T,320,512,2000,4,1,3
27,C.R.D. UNIVERSE 68,320,256,6000,0,1,6
28,C.R.D. UNIVERSE 68/05,320,256,3000,4,1,3
29,C.R.D. UNIVERSE 68/137,320,512,5000,4,1,5
30,C.R.D. UNIVERSE 68/37,320,256,5000,4,1,6
31,CDC CYBER 170/750,25,1310,2620,131,12,24
32,CDC CYBER 170/760,25,1310,2620,131,12,24
33,CDC CYBER 170/815,50,2620,10480,30,12,24
34,CDC CYBER 170/825,50,2620,10480,30,12,24
35,CDC CYBER 170/835,56,5240,20970,30,12,24
36,CDC CYBER 170/845,64,5240,20970,30,12,24
37,CDC OMEGA 480-I,50,500,2000,8,1,4
38,CDC OMEGA 480-II,50,1000,4000,8,1,5
39,CDC OMEGA 480-III,50,2000,8000,8,1,5
40,CAMBEX 1636-1,50,1000,4000,8,3,5
41,CAMBEX 1636-10,50,1000,8000,8,3,5
42,CAMBEX 1641-1,50,2000,16000,8,3,5
43,CAMBEX 1641-11,50,2000,16000,8,3,6
44,CAMBEX 1651-1,50,2000,16000,8,3,6
45,DEC DECSYS 10 1091,133,1000,12000,9,3,12
46,DEC DECSYS 20 2060,133,1000,8000,9,3,12
47,DEC MICROVAX-1,810,512,512,8,1,1
48,DEC VAX 11/730,810,1000,5000,0,1,1
49,DEC VAX 11/750,320,512,8000,4,1,5
50,DEC VAX 11/780,200,512,8000,8,1,8
51,DG ECLIPSE C/350,700,384,8000,0,1,1
52,DG ECLIPSE M/600,700,256,2000,0,1,1
53,DG ECLIPSE MV/1000,140,1000,16000,16,1,3
54,DG ECLIPSE MV/4000,200,1000,8000,0,1,2
55,DG ECLIPSE MV/6000,110,1000,4000,16,1,2
56,DG ECLIPSE MV/8000,110,1000,12000,16,1,2
57,DG ECLIPSE MV/8000 II,220,1000,8000,16,1,2
58,FORMATION F4000/100,800,256,8000,0,1,4
59,FORMATION F4000/200,800,256,8000,0,1,4
60,FORMATION F4000/200AP,800,256,8000,0,1,4
61,FORMATION F4000/300,800,256,8000,0,1,4
62,FORMATION F4000/300AP,800,256,8000,0,1,4
63,FOUR PHASE 2000/260,125,512,1000,0,8,20
64,GOULD CONCEPT 32/8705,75,2000,8000,64,1,38
65,GOULD CONCEPT 32/8750,75,2000,16000,64,1,38
66,GOULD CONCEPT 32/8780,75,2000,16000,128,1,38
67,HP 3000/30,90,256,1000,0,3,10
68,HP 3000/40,105,256,2000,0,3,10
69,HP 3000/44,105,1000,4000,0,3,24
70,HP 3000/48,105,2000,4000,8,3,19
71,HP 3000/64,75,2000,8000,8,3,24
72,HP 3000/88,75,3000,8000,8,3,48
73,HP 3000/III,175,256,2000,0,3,24
